Season,Date,Visitor/Neutral,V_PTS,Home/Neutral,H_PTS,OT?
17/18,Mon Mar 19 2018,DEN,141,MIA,149,2OT
16/17,Wed Nov 23 2016,LAL,106,GSW,149,N/A
17/18,Sun Dec 31 2017,LAL,142,HOU,148,2OT
17/18,Fri Nov 17 2017,NOP,114,DEN,146,N/A
15/16,Fri Dec 18 2015,DET,147,CHI,144,4OT
15/16,Wed Apr 13 2016,NOP,109,MIN,144,N/A
16/17,Sat Jan 28 2017,LAC,98,GSW,144,N/A
14/15,Fri Apr 10 2015,DAL,144,DEN,143,2OT
13/14,Fri Mar 28 2014,LAL,107,MIN,143,N/A
17/18,Fri Nov 24 2017,CHI,94,GSW,143,N/A
16/17,Sun Jan 29 2017,NYK,139,ATL,142,4OT
16/17,Sat Feb 25 2017,MIN,130,HOU,142,N/A
15/16,Sat Jan 2 2016,PHX,119,SAC,142,N/A
16/17,Mon Dec 5 2016,IND,106,GSW,142,N/A
12/13,Tue Feb 26 2013,SAC,129,MIA,141,2OT
17/18,Sat Dec 30 2017,MEM,128,GSW,141,N/A
17/18,Wed Feb 7 2018,MIN,138,CLE,140,OT
15/16,Mon Jan 18 2016,HOU,132,LAC,140,OT
17/18,Wed Oct 18 2017,BRK,131,IND,140,N/A
16/17,Fri Dec 30 2016,LAC,116,HOU,140,N/A
16/17,Thu Jan 12 2017,IND,112,DEN,140,N/A
12/13,Tue Feb 5 2013,GSW,109,HOU,140,N/A
14/15,Fri Nov 21 2014,LAL,106,DAL,140,N/A
17/18,Thu Mar 22 2018,MEM,79,CHO,140,N/A
15/16,Wed Feb 10 2016,LAC,134,BOS,139,OT
17/18,Wed Feb 14 2018,LAL,117,NOP,139,N/A
16/17,Sun Apr 2 2017,WAS,115,GSW,139,N/A
15/16,Tue Mar 29 2016,BRK,105,ORL,139,N/A
16/17,Wed Mar 15 2017,LAL,100,HOU,139,N/A
14/15,Fri Nov 14 2014,MIN,91,NOP,139,N/A
16/17,Sat Dec 3 2016,PHX,109,GSW,138,N/A
14/15,Wed Dec 31 2014,PHX,134,OKC,137,OT
17/18,Mon Mar 26 2018,NYK,128,CHO,137,OT
16/17,Sun Mar 26 2017,OKC,125,HOU,137,N/A
16/17,Wed Nov 23 2016,POR,125,CLE,137,N/A
17/18,Wed Apr 11 2018,MEM,123,OKC,137,N/A
13/14,Mon Nov 4 2013,HOU,118,LAC,137,N/A
17/18,Sun Nov 5 2017,UTA,110,HOU,137,N/A
13/14,Wed Apr 2 2014,NOP,107,DEN,137,N/A
15/16,Fri Feb 19 2016,GSW,105,POR,137,N/A
16/17,Wed Feb 15 2017,LAL,101,PHX,137,N/A
15/16,Fri Oct 30 2015,OKC,139,ORL,136,2OT
15/16,Sun Apr 3 2016,POR,111,GSW,136,N/A
12/13,Sun Mar 3 2013,DAL,103,HOU,136,N/A
16/17,Mon Feb 6 2017,CLE,140,WAS,135,OT
16/17,Sun Apr 2 2017,IND,130,CLE,135,2OT
14/15,Sat Dec 27 2014,NYK,129,SAC,135,OT
17/18,Sat Nov 11 2017,PHI,114,GSW,135,N/A
13/14,Sat Nov 16 2013,PHI,98,NOP,135,N/A
16/17,Sat Dec 17 2016,POR,90,GSW,135,N/A
17/18,Thu Feb 22 2018,LAC,127,GSW,134,N/A
13/14,Fri Mar 7 2014,LAL,126,DEN,134,N/A
17/18,Wed Jan 3 2018,PHX,111,DEN,134,N/A
17/18,Wed Feb 28 2018,CHO,106,BOS,134,N/A
13/14,Thu Jan 2 2014,CHA,104,POR,134,N/A
16/17,Wed Dec 7 2016,LAL,95,HOU,134,N/A
16/17,Thu Jan 12 2017,LAL,94,SAS,134,N/A
12/13,Mon Nov 12 2012,UTA,140,TOR,133,3OT
14/15,Mon Dec 8 2014,BOS,132,WAS,133,2OT
17/18,Fri Feb 2 2018,IND,126,CHO,133,N/A
14/15,Wed Apr 15 2015,DEN,126,GSW,133,N/A
16/17,Wed Mar 29 2017,WAS,124,LAC,133,N/A
16/17,Sun Nov 13 2016,PHX,120,GSW,133,N/A
15/16,Sun Mar 27 2016,DAL,111,SAC,133,N/A
17/18,Wed Jan 17 2018,WAS,109,CHO,133,N/A
16/17,Sat Dec 10 2016,NOP,105,LAC,133,N/A
16/17,Sat Feb 11 2017,PHX,102,HOU,133,N/A
17/18,Thu Jan 11 2018,CLE,99,TOR,133,N/A
17/18,Sat Nov 11 2017,CHI,94,SAS,133,N/A
17/18,Fri Apr 6 2018,CLE,130,PHI,132,N/A
17/18,Wed Mar 21 2018,TOR,129,CLE,132,N/A
17/18,Mon Jan 22 2018,CHI,128,NOP,132,2OT
16/17,Thu Dec 15 2016,POR,120,DEN,132,N/A
15/16,Sun Mar 20 2016,POR,120,DAL,132,OT
15/16,Sat Mar 5 2016,BRK,118,MIN,132,N/A
15/16,Fri Oct 30 2015,LAL,114,SAC,132,N/A
12/13,Sat Apr 6 2013,HOU,114,DEN,132,N/A
17/18,Sun Jan 7 2018,ATL,113,LAL,132,N/A
16/17,Fri Jan 13 2017,BRK,113,TOR,132,N/A
16/17,Mon Feb 13 2017,GSW,110,DEN,132,N/A
16/17,Wed Dec 14 2016,SAC,98,HOU,132,N/A
14/15,Wed Apr 1 2015,DAL,135,OKC,131,N/A
16/17,Tue Apr 4 2017,DEN,134,NOP,131,N/A
17/18,Mon Jan 1 2018,MIL,127,TOR,131,OT
12/13,Wed Dec 19 2012,GSW,127,SAC,131,N/A
17/18,Sun Dec 10 2017,PHI,124,NOP,131,N/A
15/16,Tue Dec 29 2015,MIL,123,OKC,131,N/A
14/15,Sat Nov 15 2014,MIN,117,DAL,131,N/A
16/17,Mon Dec 26 2016,PHX,115,HOU,131,N/A
15/16,Tue Mar 15 2016,PHI,114,BRK,131,N/A
16/17,Mon Mar 27 2017,ORL,112,TOR,131,N/A
16/17,Wed Nov 30 2016,IND,109,POR,131,N/A
14/15,Wed Nov 5 2014,DEN,109,SAC,131,N/A
14/15,Sun Feb 8 2015,LAC,108,OKC,131,N/A
17/18,Wed Nov 29 2017,PHX,107,DET,131,N/A
12/13,Fri Nov 23 2012,NYK,103,HOU,131,N/A
13/14,Thu Mar 13 2014,LAL,102,OKC,131,N/A
12/13,Mon Apr 1 2013,CHA,102,MIL,131,N/A
14/15,Sat Apr 4 2015,BRK,99,ATL,131,N/A
12/13,Fri Dec 7 2012,TOR,99,UTA,131,N/A
13/14,Tue Apr 8 2014,HOU,145,LAL,130,N/A
16/17,Tue Dec 20 2016,ORL,136,MIA,130,2OT
13/14,Wed Apr 16 2014,UTA,136,MIN,130,2OT
16/17,Fri Mar 3 2017,CLE,135,ATL,130,N/A
17/18,Fri Oct 20 2017,LAL,132,PHX,130,N/A
13/14,Sun Apr 6 2014,DEN,125,HOU,130,OT
17/18,Mon Dec 11 2017,NOP,123,HOU,130,N/A
17/18,Sat Feb 10 2018,LAL,123,DAL,130,N/A
16/17,Wed Oct 26 2016,DAL,121,IND,130,OT
16/17,Fri Mar 24 2017,PHX,120,BOS,130,N/A
13/14,Mon Apr 14 2014,MIN,120,GSW,130,N/A
16/17,Fri Mar 24 2017,MIN,119,LAL,130,OT
17/18,Thu Jan 25 2018,NYK,118,DEN,130,N/A
17/18,Sun Apr 8 2018,DET,117,MEM,130,N/A
16/17,Sat Apr 1 2017,PHX,117,POR,130,N/A
16/17,Sat Mar 4 2017,BRK,116,POR,130,N/A
15/16,Sun Feb 28 2016,PHI,116,ORL,130,N/A
16/17,Tue Feb 28 2017,PHX,112,MEM,130,N/A
17/18,Sat Nov 25 2017,ORL,111,PHI,130,N/A
15/16,Sun Apr 10 2016,LAL,110,HOU,130,N/A
17/18,Fri Feb 2 2018,POR,105,TOR,130,N/A
15/16,Tue Nov 3 2015,CHI,105,CHO,130,N/A
14/15,Mon Mar 9 2015,SAC,105,ATL,130,N/A
17/18,Fri Feb 9 2018,DEN,104,HOU,130,N/A
17/18,Sun Mar 11 2018,SAC,104,DEN,130,N/A
17/18,Sat Dec 23 2017,ORL,103,WAS,130,N/A
13/14,Sun Apr 6 2014,UTA,102,GSW,130,N/A
12/13,Fri Mar 1 2013,SAC,102,SAS,130,N/A
16/17,Sat Dec 10 2016,BRK,101,SAS,130,N/A
15/16,Sat Jan 2 2016,PHI,99,LAC,130,N/A
15/16,Wed Jan 27 2016,HOU,99,SAS,130,N/A
13/14,Fri Dec 6 2013,UTA,98,POR,130,N/A
17/18,Wed Apr 11 2018,MIL,95,PHI,130,N/A
13/14,Mon Dec 16 2013,PHI,94,BRK,130,N/A
14/15,Wed Mar 25 2015,OKC,91,SAS,130,N/A
17/18,Sat Oct 21 2017,PHX,88,LAC,130,N/A
15/16,Mon Mar 14 2016,MEM,81,HOU,130,N/A
13/14,Thu Feb 27 2014,WAS,134,TOR,129,3OT
16/17,Fri Nov 25 2016,OKC,132,DEN,129,OT
15/16,Fri Mar 25 2016,MIN,132,WAS,129,2OT
14/15,Tue Dec 2 2014,DAL,132,CHI,129,2OT
14/15,Fri Mar 20 2015,MIL,127,BRK,129,3OT
13/14,Wed Jan 15 2014,DAL,127,LAC,129,N/A
15/16,Sun Jan 17 2016,IND,126,DEN,129,N/A
17/18,Wed Nov 22 2017,WAS,124,CHO,129,OT
17/18,Tue Feb 27 2018,BRK,123,CLE,129,N/A
16/17,Sat Dec 31 2016,NYK,122,HOU,129,N/A
14/15,Sun Nov 30 2014,TOR,122,LAL,129,OT
13/14,Fri Feb 21 2014,NYK,121,ORL,129,2OT
14/15,Mon Dec 22 2014,TOR,120,CHI,129,N/A
13/14,Sun Mar 2 2014,ATL,120,PHX,129,N/A
16/17,Thu Mar 16 2017,LAC,114,DEN,129,N/A
17/18,Wed Nov 1 2017,TOR,111,DEN,129,N/A
15/16,Tue Mar 1 2016,CHI,111,MIA,129,N/A
16/17,Fri Feb 24 2017,BRK,109,DEN,129,N/A
16/17,Sat Jan 28 2017,BRK,109,MIN,129,N/A
16/17,Fri Mar 24 2017,BRK,108,WAS,129,N/A
13/14,Thu Mar 20 2014,MIN,106,HOU,129,N/A
15/16,Sun Apr 10 2016,BRK,105,IND,129,N/A
16/17,Tue Apr 11 2017,PHX,104,SAC,129,N/A
15/16,Sun Feb 21 2016,PHI,103,DAL,129,N/A
17/18,Sat Mar 10 2018,WAS,102,MIA,129,N/A
16/17,Mon Mar 13 2017,LAL,101,DEN,129,N/A
17/18,Tue Jan 30 2018,GSW,99,UTA,129,N/A
14/15,Fri Mar 13 2015,LAC,99,DAL,129,N/A
13/14,Tue Jan 7 2014,BOS,98,DEN,129,N/A
12/13,Sun Mar 10 2013,DET,97,LAC,129,N/A
12/13,Sun Dec 23 2012,DAL,91,SAS,129,N/A
14/15,Fri Jan 23 2015,CHO,90,CLE,129,N/A
17/18,Mon Feb 12 2018,PHX,83,GSW,129,N/A
17/18,Sat Feb 10 2018,NOP,138,BRK,128,2OT
16/17,Sun Apr 9 2017,HOU,135,SAC,128,N/A
13/14,Mon Mar 3 2014,MIN,132,DEN,128,N/A
13/14,Mon Dec 2 2013,NOP,131,CHI,128,3OT
15/16,Mon Jan 25 2016,CHO,129,SAC,128,2OT
17/18,Sun Apr 1 2018,MIL,125,DEN,128,OT
17/18,Thu Mar 22 2018,LAL,125,NOP,128,N/A
17/18,Wed Dec 27 2017,DEN,125,MIN,128,OT
16/17,Thu Nov 3 2016,BOS,122,CLE,128,N/A
13/14,Thu Mar 6 2014,OKC,122,PHX,128,N/A
16/17,Fri Feb 24 2017,PHX,121,CHI,128,OT
15/16,Mon Feb 29 2016,HOU,121,MIL,128,N/A
16/17,Tue Nov 1 2016,HOU,120,CLE,128,N/A
15/16,Fri Mar 25 2016,DAL,120,GSW,128,N/A
15/16,Fri Feb 5 2016,SAC,119,BRK,128,N/A
15/16,Sun Feb 7 2016,SAC,119,BOS,128,N/A
15/16,Wed Feb 24 2016,LAL,119,MEM,128,N/A
13/14,Tue Mar 25 2014,OKC,119,DAL,128,OT
14/15,Wed Jan 21 2015,ORL,118,DET,128,N/A
14/15,Wed Feb 4 2015,DAL,114,GSW,128,N/A
17/18,Wed Dec 27 2017,BRK,113,NOP,128,N/A
16/17,Fri Mar 17 2017,HOU,112,NOP,128,N/A
15/16,Fri Mar 11 2016,POR,112,GSW,128,N/A
14/15,Mon Dec 22 2014,SAC,108,GSW,128,N/A
17/18,Fri Mar 2 2018,NYK,105,LAC,128,N/A
16/17,Tue Feb 7 2017,ORL,104,HOU,128,N/A
15/16,Wed Dec 16 2015,PHX,103,GSW,128,N/A
15/16,Sun Feb 28 2016,MIN,101,DAL,128,N/A
16/17,Fri Jan 27 2017,ORL,98,BOS,128,N/A
16/17,Tue Mar 14 2017,DET,96,CLE,128,N/A
12/13,Thu Feb 7 2013,CHI,96,DEN,128,N/A
17/18,Sat Oct 21 2017,PHI,94,TOR,128,N/A
15/16,Mon Mar 14 2016,POR,94,OKC,128,N/A
16/17,Fri Nov 25 2016,DAL,90,CLE,128,N/A
16/17,Sat Dec 3 2016,ATL,84,TOR,128,N/A
16/17,Thu Dec 1 2016,HOU,132,GSW,127,2OT
17/18,Sat Jan 6 2018,CLE,131,ORL,127,N/A
16/17,Tue Mar 7 2017,WAS,131,PHX,127,N/A
13/14,Sat Nov 9 2013,PHI,125,CLE,127,2OT
17/18,Thu Feb 1 2018,OKC,124,DEN,127,N/A
16/17,Tue Nov 29 2016,LAC,122,BRK,127,2OT
15/16,Mon Nov 23 2015,SAC,122,CHO,127,OT
15/16,Wed Dec 2 2015,PHX,122,DET,127,OT
13/14,Fri Jan 17 2014,GSW,121,OKC,127,N/A
16/17,Thu Jan 26 2017,PHX,120,DEN,127,N/A
16/17,Mon Jan 2 2017,DEN,119,GSW,127,N/A
14/15,Tue Mar 24 2015,LAL,117,OKC,127,N/A
14/15,Fri Jan 16 2015,GSW,115,OKC,127,N/A
16/17,Mon Jan 23 2017,HOU,114,MIL,127,N/A
16/17,Sat Dec 17 2016,NYK,114,DEN,127,N/A
17/18,Sun Mar 11 2018,CLE,113,LAL,127,N/A
12/13,Fri Feb 22 2013,MIN,111,OKC,127,N/A
17/18,Tue Jan 2 2018,POR,110,CLE,127,N/A
17/18,Sun Nov 19 2017,DEN,109,LAL,127,N/A
17/18,Sun Jan 21 2018,NYK,107,LAL,127,N/A
16/17,Thu Jan 12 2017,DET,107,GSW,127,N/A
15/16,Wed Jan 27 2016,DAL,107,GSW,127,N/A
15/16,Wed Dec 16 2015,PHI,106,ATL,127,N/A
17/18,Wed Jan 31 2018,LAL,105,ORL,127,N/A
12/13,Sat Mar 16 2013,PHX,105,WAS,127,N/A
14/15,Sat Nov 1 2014,LAL,104,GSW,127,N/A
14/15,Mon Dec 1 2014,MIN,101,LAC,127,N/A
16/17,Fri Jan 6 2017,MIA,100,LAL,127,N/A
17/18,Mon Jan 8 2018,CLE,99,MIN,127,N/A
13/14,Tue Mar 25 2014,NYK,96,LAL,127,N/A
12/13,Fri Feb 8 2013,PHX,96,OKC,127,N/A
16/17,Mon Nov 14 2016,BRK,95,LAC,127,N/A
14/15,Sat Nov 15 2014,ATL,94,CLE,127,N/A
14/15,Sat Jan 3 2015,PHI,91,LAC,127,N/A
12/13,Mon Dec 10 2012,SAS,134,HOU,126,OT
16/17,Sun Apr 9 2017,CLE,125,ATL,126,OT
13/14,Tue Dec 3 2013,ORL,125,PHI,126,2OT
13/14,Fri Feb 28 2014,SAC,122,LAL,126,N/A
17/18,Fri Oct 20 2017,ORL,121,BRK,126,N/A
17/18,Wed Nov 1 2017,MIL,121,CHO,126,N/A
16/17,Tue Dec 20 2016,POR,121,SAC,126,N/A
12/13,Wed Dec 26 2012,DET,119,ATL,126,2OT
17/18,Wed Mar 14 2018,MIL,117,ORL,126,N/A
17/18,Sun Dec 10 2017,DEN,116,IND,126,OT
16/17,Wed Nov 30 2016,WAS,115,OKC,126,OT
15/16,Sun Feb 21 2016,LAL,115,CHI,126,N/A
13/14,Thu Oct 31 2013,GSW,115,LAC,126,N/A
17/18,Wed Mar 28 2018,ATL,114,MIN,126,N/A
12/13,Wed Dec 26 2012,LAL,114,DEN,126,N/A
17/18,Thu Jan 25 2018,MIN,113,GSW,126,N/A
17/18,Tue Dec 5 2017,PHX,113,TOR,126,N/A
17/18,Wed Nov 29 2017,CHO,113,TOR,126,N/A
16/17,Wed Mar 22 2017,CLE,113,DEN,126,N/A
14/15,Wed Jan 21 2015,HOU,113,GSW,126,N/A
13/14,Mon Jan 20 2014,POR,113,HOU,126,N/A
16/17,Wed Feb 1 2017,CHO,111,GSW,126,N/A
16/17,Thu Nov 17 2016,POR,109,HOU,126,N/A
13/14,Sat Feb 8 2014,DEN,109,DET,126,N/A
17/18,Thu Apr 5 2018,GSW,106,IND,126,N/A
17/18,Sat Jan 13 2018,SAC,105,LAC,126,N/A
14/15,Fri Jan 2 2015,TOR,105,GSW,126,N/A
17/18,Wed Dec 27 2017,UTA,101,GSW,126,N/A
14/15,Fri Jan 23 2015,SAC,101,GSW,126,N/A
12/13,Wed Apr 3 2013,PHX,101,LAC,126,N/A
12/13,Sat Nov 17 2012,DEN,100,SAS,126,N/A
14/15,Sat Feb 21 2015,SAC,99,LAC,126,N/A
12/13,Sat Nov 3 2012,CHA,99,DAL,126,N/A
16/17,Thu Mar 23 2017,PHX,98,BRK,126,N/A
15/16,Sat Dec 12 2015,LAL,97,HOU,126,N/A
13/14,Sat Nov 23 2013,CLE,96,SAS,126,N/A
15/16,Tue Mar 1 2016,PHX,92,CHO,126,N/A
16/17,Mon Jan 16 2017,CLE,91,GSW,126,N/A
14/15,Tue Dec 30 2014,PHI,86,GSW,126,N/A
17/18,Wed Nov 15 2017,SAC,80,ATL,126,N/A
17/18,Sun Mar 18 2018,OKC,132,TOR,125,N/A
13/14,Tue Mar 4 2014,NOP,132,LAL,125,N/A
15/16,Sun Dec 20 2015,NOP,130,DEN,125,N/A
16/17,Wed Feb 15 2017,MIL,129,BRK,125,N/A
14/15,Thu Mar 12 2015,CLE,128,SAS,125,OT
13/14,Wed Jan 15 2014,CHI,128,ORL,125,3OT
17/18,Fri Nov 24 2017,POR,127,BRK,125,N/A
17/18,Sat Jan 13 2018,GSW,127,TOR,125,N/A
13/14,Thu Dec 26 2013,ATL,127,CLE,125,2OT
17/18,Fri Mar 30 2018,DEN,126,OKC,125,OT
16/17,Mon Mar 20 2017,DEN,124,HOU,125,N/A
17/18,Tue Oct 24 2017,BRK,121,ORL,125,N/A
17/18,Fri Jan 12 2018,ORL,119,WAS,125,N/A
12/13,Mon Jan 7 2013,ORL,119,POR,125,OT
16/17,Tue Nov 15 2016,BRK,118,LAL,125,N/A
14/15,Mon Dec 22 2014,LAC,118,SAS,125,N/A
12/13,Mon Mar 4 2013,TOR,118,GSW,125,N/A
16/17,Wed Jan 4 2017,POR,117,GSW,125,N/A
17/18,Fri Mar 9 2018,LAL,116,DEN,125,N/A
17/18,Mon Feb 26 2018,PHX,116,NOP,125,N/A
17/18,Tue Jan 30 2018,CLE,114,DET,125,N/A
13/14,Wed Apr 9 2014,PHI,114,TOR,125,N/A
17/18,Sat Jan 20 2018,LAC,113,UTA,125,N/A
16/17,Mon Jan 16 2017,ORL,112,DEN,125,N/A
12/13,Tue Jan 8 2013,LAL,112,HOU,125,N/A
16/17,Sat Feb 11 2017,DEN,109,CLE,125,N/A
15/16,Sat Mar 12 2016,HOU,109,CHO,125,N/A
14/15,Sun Jan 4 2015,TOR,109,PHX,125,N/A
17/18,Fri Mar 9 2018,GSW,108,POR,125,N/A
17/18,Sat Nov 11 2017,ORL,107,DEN,125,N/A
16/17,Thu Nov 3 2016,IND,107,MIL,125,N/A
15/16,Mon Mar 14 2016,NOP,107,GSW,125,N/A
15/16,Wed Apr 13 2016,MEM,104,GSW,125,N/A
14/15,Tue Dec 23 2014,MIN,104,CLE,125,N/A
17/18,Mon Mar 5 2018,PHX,103,MIA,125,N/A
12/13,Wed Dec 19 2012,PHI,103,HOU,125,N/A
16/17,Sat Feb 4 2017,PHI,102,MIA,125,N/A
14/15,Sun Dec 7 2014,MIL,102,DAL,125,N/A
17/18,Wed Nov 8 2017,MIN,101,GSW,125,N/A
16/17,Sun Nov 13 2016,LAL,99,MIN,125,N/A
16/17,Wed Mar 1 2017,PHI,98,MIA,125,N/A
12/13,Sat Mar 30 2013,POR,98,GSW,125,N/A
16/17,Wed Feb 1 2017,MIN,97,CLE,125,N/A
16/17,Mon Apr 10 2017,HOU,96,LAC,125,N/A
13/14,Fri Jan 24 2014,CHA,96,NYK,125,N/A
17/18,Wed Nov 22 2017,DEN,95,HOU,125,N/A
14/15,Sat Mar 14 2015,NYK,94,GSW,125,N/A
13/14,Wed Oct 30 2013,LAL,94,GSW,125,N/A
13/14,Tue Mar 4 2014,PHI,92,OKC,125,N/A
12/13,Wed Feb 20 2013,NYK,91,IND,125,N/A
17/18,Sat Jan 6 2018,CHI,86,IND,125,N/A
17/18,Sat Jan 20 2018,OKC,148,CLE,124,N/A
17/18,Fri Jan 5 2018,CHI,127,DAL,124,N/A
17/18,Wed Mar 14 2018,WAS,125,BOS,124,2OT
16/17,Sat Mar 11 2017,WAS,125,POR,124,OT
16/17,Sun Jan 8 2017,DET,125,POR,124,2OT
17/18,Fri Feb 23 2018,MIA,123,NOP,124,OT
16/17,Mon Jan 23 2017,CLE,122,NOP,124,N/A
15/16,Mon Feb 22 2016,BOS,122,MIN,124,N/A
16/17,Mon Apr 10 2017,CLE,121,MIA,124,OT
16/17,Sun Feb 26 2017,CHO,121,LAC,124,OT
16/17,Tue Nov 8 2016,PHX,121,POR,124,N/A
17/18,Fri Mar 23 2018,UTA,120,SAS,124,OT
17/18,Tue Nov 7 2017,MIL,119,CLE,124,N/A
15/16,Mon Jan 18 2016,UTA,119,CHO,124,2OT
15/16,Mon Mar 14 2016,DEN,119,MIA,124,N/A
17/18,Wed Dec 13 2017,DEN,118,BOS,124,N/A
17/18,Wed Nov 22 2017,ORL,118,MIN,124,N/A
16/17,Thu Dec 29 2016,BOS,118,CLE,124,N/A
12/13,Mon Jan 14 2013,CLE,118,SAC,124,N/A
17/18,Mon Mar 19 2018,MIL,117,CLE,124,N/A
16/17,Fri Jan 27 2017,BRK,116,CLE,124,N/A
14/15,Fri Feb 6 2015,GSW,116,ATL,124,N/A
12/13,Sat Dec 1 2012,UTA,116,HOU,124,N/A
14/15,Tue Dec 23 2014,DAL,115,PHX,124,N/A
17/18,Mon Jan 8 2018,DEN,114,GSW,124,N/A
17/18,Fri Nov 3 2017,BRK,112,LAL,124,N/A
13/14,Wed Jan 1 2014,NOP,112,MIN,124,N/A
16/17,Sun Apr 9 2017,DAL,111,PHX,124,N/A
16/17,Thu Dec 8 2016,MIN,110,TOR,124,N/A
17/18,Fri Dec 15 2017,SAS,109,HOU,124,N/A
15/16,Fri Apr 8 2016,MIL,109,BOS,124,N/A
17/18,Wed Jan 31 2018,CHI,108,POR,124,N/A
17/18,Wed Dec 27 2017,TOR,107,OKC,124,N/A
13/14,Mon Feb 3 2014,CLE,107,DAL,124,N/A
13/14,Mon Mar 3 2014,CHA,107,MIA,124,N/A
13/14,Sun Mar 23 2014,MIL,107,SAC,124,N/A
13/14,Wed Dec 18 2013,SAC,107,ATL,124,N/A
16/17,Fri Nov 18 2016,BRK,105,OKC,124,N/A
15/16,Sun Nov 8 2015,PHX,103,OKC,124,N/A
17/18,Fri Feb 23 2018,DAL,102,LAL,124,N/A
17/18,Sat Mar 17 2018,CHO,101,NYK,124,N/A
13/14,Wed Jan 22 2014,IND,100,PHX,124,N/A
12/13,Mon Nov 5 2012,PHX,99,MIA,124,N/A
13/14,Wed Nov 13 2013,CLE,95,MIN,124,N/A
13/14,Sat Mar 22 2014,POR,94,CHA,124,N/A
15/16,Mon Mar 21 2016,DEN,91,CLE,124,N/A
13/14,Mon Mar 17 2014,UTA,86,HOU,124,N/A
15/16,Mon Feb 22 2016,PHX,84,LAC,124,N/A
14/15,Fri Nov 21 2014,MIL,82,TOR,124,N/A
15/16,Mon Mar 14 2016,DET,81,WAS,124,N/A
13/14,Sun Jan 12 2014,CLE,80,SAC,124,N/A
13/14,Wed Feb 26 2014,BRK,80,POR,124,N/A
17/18,Thu Feb 15 2018,DEN,134,MIL,123,N/A
16/17,Fri Feb 10 2017,DEN,131,NYK,123,N/A
15/16,Tue Dec 8 2015,GSW,131,IND,123,N/A
17/18,Wed Nov 29 2017,GSW,127,LAL,123,OT
16/17,Sat Jan 21 2017,POR,127,BOS,123,OT
15/16,Wed Jan 27 2016,OKC,126,MIN,123,N/A
15/16,Wed Dec 9 2015,LAL,122,MIN,123,OT
17/18,Fri Nov 17 2017,CHO,120,CHI,123,N/A
17/18,Sat Mar 3 2018,BOS,120,HOU,123,N/A
17/18,Sun Mar 4 2018,BRK,120,LAC,123,N/A
13/14,Wed Nov 20 2013,HOU,120,DAL,123,N/A
17/18,Sat Dec 23 2017,BRK,119,IND,123,OT
17/18,Wed Mar 14 2018,MIA,119,SAC,123,OT
15/16,Thu Feb 25 2016,OKC,119,NOP,123,N/A
13/14,Tue Jan 7 2014,POR,119,SAC,123,N/A
16/17,Sat Jan 7 2017,TOR,118,CHI,123,OT
16/17,Wed Apr 12 2017,MIN,118,HOU,123,N/A
14/15,Thu Jan 29 2015,CHI,118,LAL,123,2OT
14/15,Wed Mar 4 2015,PHI,118,OKC,123,OT
17/18,Wed Feb 14 2018,GSW,117,POR,123,N/A
13/14,Wed Nov 13 2013,HOU,117,PHI,123,OT
16/17,Fri Dec 23 2016,PHI,116,PHX,123,N/A
16/17,Thu Apr 6 2017,BOS,116,ATL,123,N/A
15/16,Sat Mar 12 2016,PHX,116,GSW,123,N/A
13/14,Wed Apr 9 2014,HOU,116,DEN,123,N/A
12/13,Wed Jan 23 2013,TOR,116,MIA,123,OT
16/17,Mon Nov 21 2016,TOR,115,LAC,123,N/A
14/15,Fri Mar 20 2015,ATL,115,OKC,123,N/A
17/18,Mon Jan 15 2018,LAL,114,MEM,123,N/A
17/18,Tue Dec 12 2017,ATL,114,CLE,123,N/A
17/18,Wed Dec 6 2017,DEN,114,NOP,123,N/A
17/18,Wed Jan 24 2018,MIN,114,POR,123,N/A
16/17,Thu Feb 23 2017,LAC,113,GSW,123,N/A
17/18,Tue Jan 23 2018,NYK,112,GSW,123,N/A
16/17,Wed Jan 4 2017,OKC,112,CHO,123,N/A
17/18,Sun Jan 28 2018,LAL,111,TOR,123,N/A
15/16,Thu Dec 3 2015,IND,111,POR,123,N/A
12/13,Fri Jan 25 2013,BOS,111,ATL,123,2OT
15/16,Tue Feb 9 2016,HOU,110,GSW,123,N/A
13/14,Mon Mar 10 2014,PHI,110,NYK,123,N/A
17/18,Tue Mar 20 2018,LAC,109,MIN,123,N/A
16/17,Sat Jan 7 2017,NYK,109,IND,123,N/A
16/17,Sun Mar 19 2017,MIN,109,NOP,123,N/A
15/16,Wed Apr 6 2016,CLE,109,IND,123,N/A
16/17,Sat Mar 4 2017,MEM,108,HOU,123,N/A
16/17,Tue Jan 24 2017,BOS,108,WAS,123,N/A
13/14,Sat Dec 21 2013,DAL,108,PHX,123,N/A
14/15,Fri Feb 6 2015,LAC,107,TOR,123,N/A
16/17,Fri Mar 17 2017,MIN,105,MIA,123,N/A
17/18,Mon Mar 26 2018,DEN,104,PHI,123,N/A
13/14,Tue Nov 5 2013,LAL,104,DAL,123,N/A
12/13,Mon Dec 31 2012,ATL,104,HOU,123,N/A
15/16,Sun Mar 6 2016,POR,103,DET,123,N/A
17/18,Sat Oct 28 2017,CLE,101,NOP,123,N/A
16/17,Sat Apr 8 2017,NOP,101,GSW,123,N/A
14/15,Sat Dec 6 2014,MIN,101,SAS,123,N/A
12/13,Wed Feb 13 2013,SAC,100,DAL,123,N/A
