game_date,season,Visitor/Neutral,Home/Neutral,point_spread_visitor,point_spread_home,spread_odds_visitor,spread_odds_home,ml_odds_visitor,ml_odds_home,total,total_odds_visitor,total_odds_home
2/28/2015,14/15,SAS,PHX,2,-2,-115,-105,#N/A,#N/A,207,-115,-105
2/11/2015,14/15,SAS,DET,-6.5,6.5,-110,-110,#N/A,#N/A,195,-105,-115
1/16/2015,14/15,POR,SAS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/13/2015,14/15,SAS,WAS,1,-1,-115,-105,#N/A,#N/A,195,-115,-105
1/10/2015,14/15,SAS,MIN,-10,10,-110,-110,#N/A,#N/A,200,-110,-110
1/9/2015,14/15,PHX,SAS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/3/2015,14/15,WAS,SAS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/30/2014,14/15,SAS,MEM,0,0,-110,-110,#N/A,#N/A,195,-115,-105
12/25/2014,14/15,OKC,SAS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/17/2014,14/15,MEM,SAS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/14/2014,14/15,SAS,DEN,-5.5,5.5,-110,-110,#N/A,#N/A,203,-115,-105
12/12/2014,14/15,LAL,SAS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/3/2014,14/15,SAS,BKN,-8.5,8.5,-110,-110,#N/A,#N/A,198,-110,-110
11/28/2014,14/15,SAC,SAS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/19/2014,14/15,SAS,CLE,1.5,-1.5,-115,-105,#N/A,#N/A,201,-115,-105
11/15/2014,14/15,SAS,SAC,-2,2,-115,-105,#N/A,#N/A,195,-115,-105
11/11/2014,14/15,SAS,GSW,7.5,-7.5,-110,-110,#N/A,#N/A,201,-115,-105
11/8/2014,14/15,NOP,SAS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/6/2014,14/15,SAS,HOU,7,-7,-115,-105,#N/A,#N/A,197,-110,-110
4/11/2015,14/15,MIN,GSW,19.5,-19.5,-110,-110,#N/A,#N/A,214,-105,-115
3/13/2015,14/15,MIN,OKC,10,-10,-110,-110,#N/A,#N/A,212,-115,-105
3/9/2015,14/15,MIN,LAC,7.5,-7.5,-105,-115,#N/A,#N/A,207,-115,-105
3/7/2015,14/15,POR,MIN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/27/2015,14/15,MIN,CHI,5.5,-5.5,-110,-110,#N/A,#N/A,193,-115,-105
2/25/2015,14/15,WAS,MIN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/20/2015,14/15,PHX,MIN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/4/2015,14/15,MIA,MIN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/28/2015,14/15,BOS,MIN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/25/2015,14/15,MIN,ATL,18,-18,-110,-110,#N/A,#N/A,201,-105,-115
1/16/2015,14/15,MIN,PHX,13.5,-13.5,-105,-115,#N/A,#N/A,217,-105,-115
1/10/2015,14/15,SAS,MIN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/27/2014,14/15,MIN,GSW,19,-19,-110,-110,#N/A,#N/A,216,-110,-110
12/14/2014,14/15,LAL,MIN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/30/2014,14/15,MIN,POR,14,-14,-110,-110,#N/A,#N/A,212,-105,-115
11/28/2014,14/15,MIN,LAL,6,-6,-105,-115,#N/A,#N/A,213,-110,-110
11/19/2014,14/15,NYK,MIN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/14/2014,14/15,MIN,NOP,8.5,-8.5,-115,-105,#N/A,#N/A,206,-110,-110
11/7/2014,14/15,MIN,ORL,-4,4,-115,-105,#N/A,#N/A,203,-110,-110
3/29/2015,14/15,DAL,IND,1.5,-1.5,-105,-115,#N/A,#N/A,198,-105,-115
1/30/2015,14/15,DAL,MIA,-7.5,7.5,-115,-105,#N/A,#N/A,191,-110,-110
1/27/2015,14/15,MEM,DAL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/2/2015,14/15,DAL,BOS,-6.5,6.5,-110,-110,#N/A,#N/A,215,-115,-105
12/23/2014,14/15,DAL,PHX,0,0,-110,-110,#N/A,#N/A,216,-115,-105
12/22/2014,14/15,ATL,DAL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/10/2014,14/15,NOP,DAL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/7/2014,14/15,MIL,DAL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/3/2014,14/15,DAL,MIL,-4,4,-110,-110,#N/A,#N/A,206,-110,-110
11/21/2014,14/15,LAL,DAL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/17/2014,14/15,DAL,CHA,-4.5,4.5,-110,-110,#N/A,#N/A,199,-110,-110
11/11/2014,14/15,SAC,DAL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/13/2015,14/15,DEN,LAC,17.5,-17.5,-115,-105,#N/A,#N/A,215,-110,-110
4/12/2015,14/15,SAC,DEN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/10/2015,14/15,DAL,DEN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/13/2015,14/15,GSW,DEN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/3/2015,14/15,MIL,DEN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/25/2015,14/15,PHX,DEN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/9/2015,14/15,OKC,DEN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/3/2015,14/15,DEN,PHI,-7.5,7.5,-105,-115,#N/A,#N/A,193,-110,-110
1/31/2015,14/15,CHA,DEN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/23/2015,14/15,BOS,DEN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/19/2015,14/15,DEN,GSW,14,-14,-105,-115,#N/A,#N/A,218,-105,-115
1/3/2015,14/15,MEM,DEN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/14/2014,14/15,SAS,DEN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/10/2014,14/15,MIA,DEN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/2/2014,14/15,POR,DEN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/1/2014,14/15,DEN,UTA,-4,4,-105,-115,#N/A,#N/A,206,-110,-110
11/23/2014,14/15,DEN,LAL,-2.5,2.5,-105,-115,#N/A,#N/A,221,-105,-115
4/10/2015,14/15,PHX,NOP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/8/2015,14/15,NOP,MEM,5,-5,-110,-110,#N/A,#N/A,184,-110,-110
4/4/2015,14/15,NOP,POR,5.5,-5.5,-110,-110,#N/A,#N/A,194,-110,-110
3/9/2015,14/15,NOP,MIL,-1.5,1.5,-115,-105,#N/A,#N/A,187,-110,-110
2/11/2015,14/15,IND,NOP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/9/2015,14/15,UTA,NOP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/2/2015,14/15,ATL,NOP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/30/2015,14/15,LAC,NOP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/14/2015,14/15,NOP,DET,4,-4,-110,-110,#N/A,#N/A,203,-110,-110
1/9/2015,14/15,MEM,NOP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/30/2014,14/15,PHX,NOP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/18/2014,14/15,NOP,HOU,5,-5,-110,-110,#N/A,#N/A,201,-110,-110
12/14/2014,14/15,GSW,NOP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/10/2014,14/15,NOP,DAL,7,-7,-105,-115,#N/A,#N/A,209,-115,-105
12/2/2014,14/15,OKC,NOP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/14/2014,14/15,MIN,NOP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/12/2014,14/15,LAL,NOP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/8/2014,14/15,NOP,SAS,7.5,-7.5,-110,-110,#N/A,#N/A,195,-115,-105
4/11/2015,14/15,PHI,CHI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/23/2015,14/15,CHA,CHI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/20/2015,14/15,TOR,CHI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/3/2015,14/15,WAS,CHI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/27/2015,14/15,MIN,CHI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/25/2015,14/15,CHA,CHI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/20/2015,14/15,CHI,DET,-6.5,6.5,-110,-110,#N/A,#N/A,193,-115,-105
2/8/2015,14/15,CHI,ORL,-7,7,-115,-105,#N/A,#N/A,198,-105,-115
1/19/2015,14/15,CHI,CLE,4.5,-4.5,-105,-115,#N/A,#N/A,208,-105,-115
1/16/2015,14/15,CHI,BOS,-6,6,-110,-110,#N/A,#N/A,200,-115,-105
1/14/2015,14/15,WAS,CHI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
