game_date,season,Visitor/Neutral,Home/Neutral,point_spread_visitor,point_spread_home,spread_odds_visitor,spread_odds_home,ml_odds_visitor,ml_odds_home,total,total_odds_visitor,total_odds_home
12/25/2013,13/14,LAC,GSW,3,-3,-110,-110,#N/A,#N/A,208,-115,-105
12/12/2013,13/14,LAC,BKN,-1.5,1.5,-115,-105,#N/A,#N/A,198,-110,-110
11/29/2013,13/14,LAC,SAC,-3.5,3.5,-105,-115,#N/A,#N/A,203,-110,-110
11/21/2013,13/14,LAC,OKC,5.5,-5.5,-105,-115,#N/A,#N/A,213,-105,-115
11/18/2013,13/14,MEM,LAC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/13/2013,13/14,OKC,LAC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/2/2014,13/14,LAL,SAC,7.5,-7.5,-105,-115,#N/A,#N/A,218,-115,-105
3/30/2014,13/14,PHX,LAL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/28/2014,13/14,LAL,MIN,11.5,-11.5,-110,-110,#N/A,#N/A,226,-115,-105
3/27/2014,13/14,LAL,MIL,2.5,-2.5,-110,-110,#N/A,#N/A,219,-110,-110
3/25/2014,13/14,NYK,LAL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/19/2014,13/14,SAS,LAL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
